"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"IntraControlA1a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlA1a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlA1a"	"IntraControlA1a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlA2a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlA2a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlA2a"	"IntraControlA2a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlA3a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlA3a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlA3a"	"IntraControlA3a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlB1a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlB1a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlB1a"	"IntraControlB1a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlB2a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlB2a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlB2a"	"IntraControlB2a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlB3a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlB3a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlB3a"	"IntraControlB3a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlC1a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlC1a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlC1a"	"IntraControlC1a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlC2a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlC2a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlC2a"	"IntraControlC2a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlC3a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlC3a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlC3a"	"IntraControlC3a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
"IntraControlD1a"	"Extraction"	"2 ml methanol/water, 50/50 (v/v)"	"none"	"IntraControlD1a"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.7 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Waters SYNAPT G1 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"IntraControlD1a"	"IntraControlD1a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_POS_LC_mass_spectrometry_v2_maf.tsv"
