"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental groups]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlA1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlA2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlA3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlB1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlB2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlB3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlC1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlC2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlC3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlD1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlD2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraControlD3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"0"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"Non-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hA1a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hA2a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hA3a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hB1a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hB2a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hB3a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hC1a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hC2a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hC3a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hD1a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hD2a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated8hD3a"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hA1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hA2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hA3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hB1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hB2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hB3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hC1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hC2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
