"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Blank.01"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"200 - 1000"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blank.01"	"001_CRa_H9M5_Blank_01_neg_high_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Blank.01"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50 - 200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blank.01"	"001_CRa_H9M5_Blank_01_neg_low_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Blank.02"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"200 - 1000"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blank.02"	"002_CRa_H9M5_Blank_02_neg_high_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Blank.02"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50 - 200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Blank.02"	"002_CRa_H9M5_Blank_02_neg_low_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.01"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"200 - 1000"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.01"	"004_CRa_H9M5_Pool_01_neg_high_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.01"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50 - 200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.01"	"004_CRa_H9M5_Pool_01_neg_low_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.02"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"200 - 1000"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.02"	"005_CRa_H9M5_Pool_02_neg_high_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.02"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50 - 200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.02"	"005_CRa_H9M5_Pool_02_neg_low_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.03"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"200 - 1000"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.03"	"006_CRa_H9M5_Pool_03_neg_high_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
"Pool.03"	"Extraction"	""	""	"Chromatography"	"Thermo Scientific Accela II HPLC system"	""	""	"Hypersil GOLD aQ (1.9 μm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50 - 200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool.03"	"006_CRa_H9M5_Pool_03_neg_low_mr.mzML"	"Data transformation"	"Robust regression"	""	"Metabolite identification"	""	""
