"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Section location]"	"Term Source REF"	"Term Accession Number"
"Slide1"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide1"	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft"	""	""
"Slide2"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide2"	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft"	""	""
"Slide3"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide3"	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft"	""	""
"Slide4"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide4"	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft"	""	""
"Slide5"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide5"	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft"	""	""
"Slide6"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide6"	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft"	""	""
"Slide7"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide7"	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft"	""	""
"Slide8"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide8"	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft"	""	""
"Slide9"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide9"	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft"	""	""
"Slide10"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide10"	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft"	""	""
"Slide11"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide11"	"407TopRight, 417 BottomRight, 427BottomLeft, 437TopLeft"	""	""
"Slide12"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide12"	"447TopRight, 457BottomRight, 467BottomLeft, 477TopLeft"	""	""
"Slide13"	"Homo sapiens/Mus musculus xenograft"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1383439"	"liver cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000594"	"Sample collection"	"Slide13"	"487TopRight, 497 BottomRight, 507BottomLeft"	""	""
