"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Q-7-G-1"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-7-G-1"	"13242ob_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-7-G-2"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-7-G-2"	"13242ob_2.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-7-G-3"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-7-G-3"	"13242ob_3.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-7-G-4"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-7-G-4"	"13242ob_4.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-10-G-1"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-10-G-1"	"13242ob_5.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-10-G-2"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-10-G-2"	"13242ob_6.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-10-G-3"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-10-G-3"	"13242ob_7.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-10-G-4"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-10-G-4"	"13242ob_8.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-14-G-1"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-14-G-1"	"13242ob_9.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
"Q-14-G-2"	"Extraction"	"methanol:chloroform:water (1:2.5:1 v/v)"	"sylilation"	""	"Chromatography"	"ThermoQuest GC 8000"	""	""	"ThermoQuest AS 2000 Liquid Autosampler"	""	""	"SPB-50 GC (0.25 µm, 0.25 mm x 30 m; Supelco)"	"medium polarity"	""	""	""	""	"Mass spectrometry"	"negative"	"50-600"	"ThermoQuest Voyager"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Q-14-G-2"	"13242ob_10.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dynamic metabolomics of rice grain_metabolite profiling_mass spectrometry_v2_maf.tsv"
