"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[rice seed developmental stage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[different cultivar]"	"Term Source REF"	"Term Accession Number"
"S001"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-7-G-1"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S002"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-7-G-2"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S003"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-7-G-3"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S004"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-7-G-4"	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S005"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-10-G-1"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S006"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-10-G-2"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S007"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-10-G-3"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S008"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-10-G-4"	"10"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S009"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-14-G-1"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
"S010"	"Oryza sativa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4530"	"Oryza sativa cv. Qingfengai"	""	""	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"Q-14-G-2"	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Qingfengai"	""	""
