"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1_1"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A2_MS_4.t2d.mzxml.xml"	"SCM - 2DG T=00min_A2_MS_4.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_2"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A6_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_A6_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_3"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A8_MS_4.t2d.mzxml.xml"	"SCM - 2DG T=00min_A8_MS_4.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_4"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A9_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_A9_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_5"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A10_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_A10_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_6"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_A11_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_A11_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_7"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B1_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B1_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_8"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B2_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B2_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_9"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B3_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B3_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_10"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B4_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B4_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_11"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B5_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B5_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_12"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B6_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B6_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_13"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B9_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B9_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_14"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B10_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B10_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_15"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_B12_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_B12_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_16"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C3_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C3_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_17"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C4_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C4_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_18"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C5_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C5_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_19"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C8_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C8_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_20"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C9_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C9_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_21"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_C11_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_C11_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_22"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_D2_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_D2_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_23"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_D7_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_D7_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_24"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_D10_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_D10_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_25"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_D12_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_D12_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_26"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E1_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E1_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_27"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E2_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E2_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_28"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E6_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E6_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_29"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E9_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E9_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_30"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E10_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E10_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_31"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_E13_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_E13_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_32"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F1_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F1_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_33"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F2_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F2_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_34"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F3_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F3_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_35"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F5_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F5_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_36"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F6_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F6_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_37"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F7_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F7_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_38"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F9_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F9_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_39"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_F12_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_F12_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_40"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_G3_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_G3_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
"1_41"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-1100"	"AB SCIEX 4800 Plus MALDI TOF/TOF"	""	""	"matrix-assisted laser desorption ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000075"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"SCM - 2DG T=00min_G4_MS_3.t2d.mzxml.xml"	"SCM - 2DG T=00min_G4_MS_3.t2d.mzxml.xml"	"Data transformation"	""	""	"Metabolite identification"	""	"m_single-cell_v2_maf.tsv"
