"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glucose source]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Level measurement type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell number]"	"Term Source REF"	"Term Accession Number"
"1_1"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_1"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_2"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_2"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_3"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_3"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_4"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_4"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_5"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_5"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_6"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_6"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_7"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_7"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_8"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_8"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"1_9"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_9"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"1_10"	"Saccharomyces cerevisiae"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4932"	"Saccharomyces cerevisiae strain YSBN.6"	""	""	"whole organism"	"EFO"	""	"Sample collection"	"1_10"	"wild type"	""	""	"Glucose 12C"	""	""	"MAMS (near single-cell level) measurement"	""	""	"+ 2-deoxyglucose"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
