"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20150526_Yeast_lipidomic_QC_006"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_QC_006"	"20150526_Yeast_lipidomic_QC_006.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_QC_006.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_QC_007"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_QC_007"	"20150526_Yeast_lipidomic_QC_007.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_QC_007.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_QC_008"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_QC_008"	"20150526_Yeast_lipidomic_QC_008.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_QC_008.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_QC_009"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_QC_009"	"20150526_Yeast_lipidomic_QC_009.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_QC_009.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_QC_010"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_QC_010"	"20150526_Yeast_lipidomic_QC_010.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_QC_010.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_11_001"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_11_001"	"20150526_Yeast_lipidomic_11_001.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_11_001.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_11_002"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_11_002"	"20150526_Yeast_lipidomic_11_002.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_11_002.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_10_001"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_10_001"	"20150526_Yeast_lipidomic_10_001.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_10_001.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_10_002"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_10_002"	"20150526_Yeast_lipidomic_10_002.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_10_002.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20150526_Yeast_lipidomic_12_001"	"Sample collection"	"isopropanol/water "	"Chromatography"	"Waters ACQUITY UPLC I-Class System"	""	""	"ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	"N/A"	""	""	""	"Mass spectrometry"	"positive"	"50-2000"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20150526_Yeast_lipidomic_12_001"	"20150526_Yeast_lipidomic_12_001.raw"	"Data transformation"	""	"20150526_Yeast_lipidomic_12_001.raw"	"Metabolite identification"	""	"m_PosLip_saccharomyces_cerevisiae_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
