"Sample Name"	"Comment[BioSamples Accession]"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LA1777 LVS01"	"SAMEA4303638"	"Extraction"	""	"none"	"LA1777 LVS01 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 LVS01 hydrophilic"	"LA 1777 Blatt sauer1.wiff"	"Data transformation"	""	"LA 1777 Blatt sauer1.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA1777 LVS02"	"SAMEA4303640"	"Extraction"	""	"none"	"LA1777 LVS02 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 LVS02 hydrophilic"	"LA 1777 Blatt sauer2.wiff"	"Data transformation"	""	"LA 1777 Blatt sauer2.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA1777 LVS03"	"SAMEA4303644"	"Extraction"	""	"none"	"LA1777 LVS03 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 LVS03 hydrophilic"	"LA 1777 Blatt sauer3.wiff"	"Data transformation"	""	"LA 1777 Blatt sauer3.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA1777 TRI01"	"SAMEA4303641"	"Extraction"	""	"none"	"LA1777 TRI01 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 TRI01 hydrophilic"	"LA 1777 Trichome sauer1.wiff"	"Data transformation"	""	"LA 1777 Trichome sauer1.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA1777 TRI02"	"SAMEA4303647"	"Extraction"	""	"none"	"LA1777 TRI02 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 TRI02 hydrophilic"	"LA 1777 Trichome sauer2.wiff"	"Data transformation"	""	"LA 1777 Trichome sauer2.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA1777 TRI03"	"SAMEA4303636"	"Extraction"	""	"none"	"LA1777 TRI03 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA1777 TRI03 hydrophilic"	"LA 1777 Trichome sauer3.wiff"	"Data transformation"	""	"LA 1777 Trichome sauer3.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 LVS01"	"SAMEA4303639"	"Extraction"	""	"none"	"LA4024 LVS01 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 LVS01 hydrophilic"	"LA 4024 Blatt sauer1.wiff"	"Data transformation"	""	"LA 4024 Blatt sauer1.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 LVS02"	"SAMEA4303642"	"Extraction"	""	"none"	"LA4024 LVS02 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 LVS02 hydrophilic"	"LA 4024 Blatt sauer2.wiff"	"Data transformation"	""	"LA 4024 Blatt sauer2.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 LVS03"	"SAMEA4303645"	"Extraction"	""	"none"	"LA4024 LVS03 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 LVS03 hydrophilic"	"LA 4024 Blatt sauer3.wiff"	"Data transformation"	""	"LA 4024 Blatt sauer3.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 TRI01"	"SAMEA4303643"	"Extraction"	""	"none"	"LA4024 TRI01 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 TRI01 hydrophilic"	"LA 4024 Trichome sauer1.wiff"	"Data transformation"	""	"LA 4024 Trichome sauer1.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 TRI02"	"SAMEA4303646"	"Extraction"	""	"none"	"LA4024 TRI02 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 TRI02 hydrophilic"	"LA 4024 Trichome sauer2.wiff"	"Data transformation"	""	"LA 4024 Trichome sauer2.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
"LA4024 TRI03"	"SAMEA4303637"	"Extraction"	""	"none"	"LA4024 TRI03 hydrophilic"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"NUCLEOSHELL RP 18 (2.7 µm, 2 mm x 150 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1250"	"AB SCIEX TripleTOF 5600"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LA4024 TRI03 hydrophilic"	"LA 4024 Trichome sauer3.wiff"	"Data transformation"	""	"LA 4024 Trichome sauer3.mzML"	"Metabolite identification"	""	"m_tomatotrichome_hydrophilic_v2_maf.tsv"
