"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Comment[BioSamples Accession]"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Organ]"	"Term Source REF"	"Term Accession Number"
"LA1777 LVS01"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA1777 LVS01"	"SAMEA4303638"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA1777 LVS02"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA1777 LVS02"	"SAMEA4303640"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA1777 LVS03"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA1777 LVS03"	"SAMEA4303644"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA1777 TRI01"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"	"Sample collection"	"LA1777 TRI01"	"SAMEA4303641"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"
"LA1777 TRI02"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"	"Sample collection"	"LA1777 TRI02"	"SAMEA4303647"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"
"LA1777 TRI03"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"	"Sample collection"	"LA1777 TRI03"	"SAMEA4303636"	"Solanum habrochaites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/62890"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"
"LA4024 LVS01"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA4024 LVS01"	"SAMEA4303639"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA4024 LVS02"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA4024 LVS02"	"SAMEA4303642"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA4024 LVS03"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Sample collection"	"LA4024 LVS03"	"SAMEA4303645"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0025034"
"LA4024 TRI01"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"	"Sample collection"	"LA4024 TRI01"	"SAMEA4303643"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"
"LA4024 TRI02"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"	"Sample collection"	"LA4024 TRI02"	"SAMEA4303646"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"glandular trichome"	"PO"	"http://purl.obolibrary.org/obo/PO_0004509"
