"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SRC-1-/- Fed_rep1_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fed_rep1_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fed_rep2_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fed_rep2_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fed_rep3_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fed_rep3_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fed_rep4_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fed_rep4_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fed_rep5_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fed_rep5_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fasted_rep1_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fasted_rep1_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fasted_rep2_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fasted_rep2_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fasted_rep3_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fasted_rep3_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fasted_rep4_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fasted_rep4_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
"SRC-1-/- Fasted_rep5_liver"	"Extraction"	""	""	""	"Chromatography"	"Waters 1525 Micro Binary HPLC Pump"	""	""	"Waters 2777 Sample Manager"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Micromass Quattro micro API"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SRC-1-/- Fasted_rep5_liver"	""	"Data transformation"	""	""	"Metabolite identification"	""	"m_york_src_FIA_mass_spectrometry_v2_maf.tsv"
