"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"CA1"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150918_BR1_01_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CA2"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150918_BR1_02_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CA3"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150918_BR1_03_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB1"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150919_BR2_01_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB2"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150919_BR2_02_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB3"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150919_BR2_03_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC1"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150921_BR3_01_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC2"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150921_BR3_02_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CC3"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Control"	"20150921_BR3_03_Control.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"DA1"	"Extraction"	"methanol"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50 -1500 "	"Waters SYNAPT G2 HDMS System"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Dormancy"	"20150918_BR1_01_Dormant.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dormancy_lipidome_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
