"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Urine_37_fullscan1"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_37_fullscan1"	"Urine_37_fullscan1.raw"	"Data transformation"	"N/A"	"Urine_37_fullscan1_neg.mzXML"	"Metabolite identification"	"Urine_37_fullscan1"	""
"Urine_37_fullscan2"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_37_fullscan2"	"Urine_37_fullscan2.raw"	"Data transformation"	"N/A"	"Urine_37_fullscan2_neg.mzXML"	"Metabolite identification"	"Urine_37_fullscan2"	""
"Urine_37_fullscan3"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_37_fullscan3"	"Urine_37_fullscan3.raw"	"Data transformation"	"N/A"	"Urine_37_fullscan3_neg.mzXML"	"Metabolite identification"	"Urine_37_fullscan3"	""
"Urine_44_fullscan1"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_44_fullscan1"	"Urine_44_fullscan1.raw"	"Data transformation"	"N/A"	"Urine_44_fullscan1_neg.mzXML"	"Metabolite identification"	"Urine_44_fullscan1"	""
"Urine_44_fullscan2"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_44_fullscan2"	"Urine_44_fullscan2.raw"	"Data transformation"	"N/A"	"Urine_44_fullscan2_neg.mzXML"	"Metabolite identification"	"Urine_44_fullscan2"	""
"Urine_44_fullscan3"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_44_fullscan3"	"Urine_44_fullscan3.raw"	"Data transformation"	"N/A"	"Urine_44_fullscan3_neg.mzXML"	"Metabolite identification"	"Urine_44_fullscan3"	""
"Urine_64_fullscan1"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_64_fullscan1"	"Urine_64_fullscan1.raw"	"Data transformation"	"N/A"	"Urine_64_fullscan1_neg.mzXML"	"Metabolite identification"	"Urine_64_fullscan1"	""
"Urine_64_fullscan2"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_64_fullscan2"	"Urine_64_fullscan2.raw"	"Data transformation"	"N/A"	"Urine_64_fullscan2_neg.mzXML"	"Metabolite identification"	"Urine_64_fullscan2"	""
"Urine_64_fullscan3"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_64_fullscan3"	"Urine_64_fullscan3.raw"	"Data transformation"	"N/A"	"Urine_64_fullscan3_neg.mzXML"	"Metabolite identification"	"Urine_64_fullscan3"	""
"Urine_73_fullscan1"	"Extraction"	"chloroform/methanol/water 20/60/20 (v/v)"	"none"	"N/A"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLCnano System"	""	""	"ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	"N/A"	"N/A"	""	""	"Mass spectrometry"	"alternating"	"70-1050"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"Urine_73_fullscan1"	"Urine_73_fullscan1.raw"	"Data transformation"	"N/A"	"Urine_73_fullscan1_neg.mzXML"	"Metabolite identification"	"Urine_73_fullscan1"	""
