"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[glucose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Spombe_200glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_200G_A"	"1"	""	""	"2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_200glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_200G_B"	"2"	""	""	"2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_200glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_200G_C"	"3"	""	""	"2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_040glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_040G_A"	"1"	""	""	"0.4"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_040glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_040G_B"	"2"	""	""	"0.4"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_040glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_040G_C"	"3"	""	""	"0.4"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_030glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_030G_A"	"1"	""	""	"0.3"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_030glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_030G_B"	"2"	""	""	"0.3"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_030glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_030G_C"	"3"	""	""	"0.3"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_020glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_020G_A"	"1"	""	""	"0.2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_020glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_020G_B"	"2"	""	""	"0.2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_020glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_020G_C"	"3"	""	""	"0.2"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_A"	"1"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_B"	"2"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_010glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_010G_C"	"3"	""	""	"0.1"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_A"	"1"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_B"	"2"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"Spombe_008glucose"	"Schizosaccharomyces pombe"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4896"	"Schizosaccharomyces pombe 972h-"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_284812"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"Spombe_008G_C"	"3"	""	""	"0.08"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
