"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Nandrolone dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Nandrolone duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tendon release]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tendon reattachment]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2901_END-CC_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2901_END_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2902_END-CC_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2902_END_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2903_END-CC_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2903_END_CONTROL"	"0"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"never"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2907_END-CC_N6W"	"150"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2907_END_N6W"	"150"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2908_END-CC_N6W"	"150"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"0"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"Staffelegg, Kuettigen, Switzerland"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"Swiss White Alpine"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000637"	"muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000887"	"Sample collection"	"2908_END_N6W"	"150"	"milligram per week"	"TMO"	"http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0189"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
