"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"
"20121129b__002__05__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__05__XW"	"HFD"	""	""	"obob"	""	""
"20121128a__001__13__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__13__XW"	"HFD"	""	""	"obob"	""	""
"20121128a__001__30__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__30__XW"	"HFD"	""	""	"obob"	""	""
"20121128a__001__53__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__53__XW"	"HFD"	""	""	"obob"	""	""
"20121129b__002__54__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__54__XW"	"HFD"	""	""	"obob"	""	""
"20121129b__002__60__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__60__XW"	"HFD"	""	""	"obob"	""	""
"20121129b__002__62__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__62__XW"	"HFD"	""	""	"obob"	""	""
"20121128a__001__67__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__67__XW"	"HFD"	""	""	"obob"	""	""
"20121129b__002__75__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__75__XW"	"HFD"	""	""	"obob"	""	""
"20121128a__001__79__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__79__XW"	"HFD"	""	""	"obob"	""	""
"20121129b__002__15__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__15__XW"	"HFD"	""	""	"WT"	""	""
"20121128a__001__24__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__24__XW"	"HFD"	""	""	"WT"	""	""
"20121128a__001__31__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__31__XW"	"HFD"	""	""	"WT"	""	""
"20121128a__001__42__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__42__XW"	"HFD"	""	""	"WT"	""	""
"20121129b__002__49__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__49__XW"	"HFD"	""	""	"WT"	""	""
"20121129b__002__59__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__59__XW"	"HFD"	""	""	"WT"	""	""
"20121128a__001__69__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__69__XW"	"HFD"	""	""	"WT"	""	""
"20121129b__002__72__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__72__XW"	"HFD"	""	""	"WT"	""	""
"20121129b__002__79__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__79__XW"	"HFD"	""	""	"WT"	""	""
"20121128a__001__80__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__80__XW"	"HFD"	""	""	"WT"	""	""
"20121129b__002__02__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__02__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__07__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__07__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__08__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__08__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__10__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__10__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__26__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__26__XW"	"STD"	""	""	"obob"	""	""
"20121129b__002__30__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__30__XW"	"STD"	""	""	"obob"	""	""
"20121129b__002__31__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__31__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__48__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__48__XW"	"STD"	""	""	"obob"	""	""
"20121129b__002__77__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__77__XW"	"STD"	""	""	"obob"	""	""
"20121128a__001__06__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__06__XW"	"STD"	""	""	"WT"	""	""
"20121129b__002__07__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__07__XW"	"STD"	""	""	"WT"	""	""
"20121128a__001__17__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121128a__001__17__XW"	"STD"	""	""	"WT"	""	""
"20121129b__002__21__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__21__XW"	"STD"	""	""	"WT"	""	""
"20121129b__002__34__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__34__XW"	"STD"	""	""	"WT"	""	""
"20121129b__002__36__XW"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"20121129b__002__36__XW"	"STD"	""	""	"WT"	""	""
