"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LN_Mock_N21_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_Mock_N21_BALF_21"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_Mock_N22_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_Mock_N22_BALF_22"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_Mock_N23_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_Mock_N23_BALF_23"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_Mock_N24_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_Mock_N24_BALF_24"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_Mock_N25_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_Mock_N25_BALF_25"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_PR8_N1_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_PR8_N1_BALF_1"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_PR8_N2_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_PR8_N2_BALF_2"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_PR8_N3_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_PR8_N3_BALF_3"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_PR8_N4_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_PR8_N4_BALF_4"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
"LN_PR8_N5_BALF"	"Extraction"	"Samples were washed with methanol then dried down and resuspended in 100µl buffer (63%H20, 37%ACN,0.02%Formic Acid), 10ng of each internal standard was added prior to extraction "	""	""	"Chromatography"	"Shimadzu LC-10AD pump and SCL-10A controller"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 250 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"AB SCIEX QTRAP 4000"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"hybrid triple quadrupole-linear ion trap"	""	""	"LN_PR8_N5_BALF_5"	"022310fluexpSET1.wiff"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls-ln_metabolite profiling_mass spectrometry_v2_maf.tsv"
