"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_Mock_N21_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"PBS"	""	""	"0"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_Mock_N22_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"PBS"	""	""	"0"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_Mock_N23_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"PBS"	""	""	"0"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_Mock_N24_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"PBS"	""	""	"0"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_Mock_N25_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"PBS"	""	""	"0"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N1_BALF"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N2_BALF"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N3_BALF"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N4_BALF"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LN_PR8_N5_BALF"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8) "	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
