"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivar]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Colour]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivation Year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Freezing method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Storage conditions]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Ab_11_DR_R_20_1601"	"Autumn Bliss"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"JKI, Dresden, Germany"	""	""	"frozen in dry ice and trasported to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Ab_11_VG_R_16_2701"	"Autumn Bliss"	""	""	"red"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"AG_11_BP_Y_01_0801"	"Alpen Gold"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"AG_11_SM_Y_28_1301"	"Alpen Gold"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, San Michele al'Adige, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"AG_12_BP_Y_02_2901"	"Alpen Gold"	""	""	"yellow"	""	""	"2012"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"An_10_VG_Y_03_0101"	"Anne"	""	""	"yellow"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"An_11_VG_Y_04_0401"	"Anne"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"BP_10_BP_R_13_0201"	"BP1"	""	""	"red"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"Berry Plant, Verona, Italy"	""	""	"stored in cooled containers and transported to FEM laboratories where they were flash frozen"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"FG_11_VG_Y_05_2001"	"Fall Gold"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"Raspberry"	"Rubus idaeus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/32247"	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"GQ_11_VG_Y_06_1801"	"Golden Queen"	""	""	"yellow"	""	""	"2011"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"FEM, Pergine Valsugana, Italy"	""	""	"flash frozen with liquid nitrogen immediately after collection and transported in dry ice to FEM"	""	""	"-20"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
