"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet ]"	"Term Source REF"	"Term Accession Number"
"Untreated Lean Group-Subject 1 "	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"1C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"2C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3B"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"3C"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
"Untreated Lean Group-Subject 4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample Collection"	"4A"	"saline"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002677"	"Standard Laboratory Diet"	""	""
