"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[collision energy]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Methanol extraction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT1_MS"	"anther"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT1_20EV"	"anther"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT1_30EV"	"anther"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT1_40EV"	"anther"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT1_50EV"	"anther"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT2_MS"	"anther"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT2_20EV"	"anther"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT2_30EV"	"anther"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT2_40EV"	"anther"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"anther"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000079"	"Sample collection"	"ANT2_50EV"	"anther"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD1_MS"	"flower bud"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD1_20EV"	"flower bud"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"flower bud"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000470"	"Sample collection"	"BUD1_30EV"	"flower bud"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
