"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC1"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC2"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC3"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC4"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC5"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC6"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC7"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC8"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC9"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsC10"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT1"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT2"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT3"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT4"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT5"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT6"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT7"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT8"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT9"
"Rothera"	"Cucumaria georgiana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/864626"	"whole body"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001489"	"Sample collection"	"CsT10"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC1"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC2"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC3"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC4"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC5"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC6"
"Rothera"	"Laternula elliptica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/228457"	"digestive gland"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000345"	"Sample collection"	"LeDC7"
