"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"C-P-1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-1"	"C-P-1.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"C-P-2"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-2"	"C-P-2.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"C-P-3"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-3"	"C-P-3.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"C-P-4"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-4"	"C-P-4.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"C-P-5"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-5"	"C-P-5.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"C-P-6"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"C-P-6"	"C-P-6.zip"	"Data transformation"	"C-P-normalized-data.xlsx"	"C-P-normalized-data.xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"M-P-1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"M-P-1"	"M-P-1.zip"	"Data transformation"	"M-P-normalized-data.xlsx"	"M-P-normalized-data .xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"M-P-2"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"M-P-2"	"M-P-2.zip"	"Data transformation"	"M-P-normalized-data.xlsx"	"M-P-normalized-data .xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"M-P-3"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"M-P-3"	"M-P-3.zip"	"Data transformation"	"M-P-normalized-data.xlsx"	"M-P-normalized-data .xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
"M-P-4"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.3 M saline D2O"	""	""	"7.4"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"5 mm PADUL 13C-1H/D Z-GRD"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"M-P-4"	"M-P-4.zip"	"Data transformation"	"M-P-normalized-data.xlsx"	"M-P-normalized-data .xlsx"	"Metabolite identification"	"CM-P-transformation-data.xlsx"	"m_mtbls340_CPMG_NMR_spectroscopy_v2_maf.tsv"
