"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Coral Species]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spectral Normalization]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 1"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_01"	"Acropora sp. 1"	""	""	"0.00249"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_02"	"Porites irregularis"	""	""	"0.003165"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 1"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_03"	"Acropora sp. 1"	""	""	"0.00531"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites rus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/262591"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_04"	"Porites rus"	""	""	"0.0042"	"g"	""	""
"Moorea 2013 Sample Collection"	"Montipora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46703"	"Montipora spp."	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_05"	"Montipora spp."	""	""	"0.00588"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites lobata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/104759"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_06"	"Porites lobata"	""	""	"0.004515"	"g"	""	""
"Moorea 2013 Sample Collection"	"Porites"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46719"	"Porites irregularis"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_07"	"Porites irregularis"	""	""	"0.00393"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora acuta"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1491507"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_08"	"Pocillopora acuta"	""	""	"0.001215"	"g"	""	""
"Moorea 2013 Sample Collection"	"Acropora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6127"	"Acropora sp. 1"	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_09"	"Acropora sp. 1"	""	""	"0.004065"	"g"	""	""
"Moorea 2013 Sample Collection"	"Pocillopora meandrina"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46732"	""	""	""	"endometabolome"	""	""	"Sample collection"	"moorea_10"	"Pocillopora meandrina"	""	""	"0.00249"	"g"	""	""
