"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LBNL_DietX_CC019_F_A"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC019_F_A"	"LBNL_DietX_CC019_F_A.D"	"Data transformation"	""	"LBNL_DietX_CC019_F_A.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC019_F_B"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC019_F_B"	"LBNL_DietX_CC019_F_B.D"	"Data transformation"	""	"LBNL_DietX_CC019_F_B.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC019_M_A"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC019_M_A"	"LBNL_DietX_CC019_M_A.D"	"Data transformation"	""	"LBNL_DietX_CC019_M_A.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC019_M_B"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC019_M_B"	"LBNL_DietX_CC019_M_B.D"	"Data transformation"	""	"LBNL_DietX_CC019_M_B.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC028_F_A"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC028_F_A"	"LBNL_DietX_CC028_F_A.D"	"Data transformation"	""	"LBNL_DietX_CC028_F_A.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC028_F_B"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC028_F_B"	"LBNL_DietX_CC028_F_B.D"	"Data transformation"	""	"LBNL_DietX_CC028_F_B.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC028_M_A"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC028_M_A"	"LBNL_DietX_CC028_M_A.D"	"Data transformation"	""	"LBNL_DietX_CC028_M_A.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC028_M_B"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC028_M_B"	"LBNL_DietX_CC028_M_B.D"	"Data transformation"	""	"LBNL_DietX_CC028_M_B.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC042_F_A"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC042_F_A"	"LBNL_DietX_CC042_F_A.D"	"Data transformation"	""	"LBNL_DietX_CC042_F_A.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
"LBNL_DietX_CC042_F_B"	"Extraction"	"Chemical derivitization"	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"LBNL_DietX_CC042_F_B"	"LBNL_DietX_CC042_F_B.D"	"Data transformation"	""	"LBNL_DietX_CC042_F_B.CDF"	"Metabolite identification"	""	"m_mtbls345_metabolite_profiling_mass_spectrometry-2_v2_maf.tsv"
