"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"R1Bl0"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R1Bl0"	"R1Bl0.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R1Bl1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R1Bl1"	"R1Bl1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R1VH1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R1VH1"	"R1VH1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R1AH1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R1AH1"	"R1AH1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R2Bl0"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R2Bl0"	"R2Bl0.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R2Bl1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R2Bl1"	"R2Bl1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R2VH1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R2VH1"	"R2VH1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R2AH1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R2AH1"	"R2AH1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R3Bl0"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R3Bl0"	"R3Bl0.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"R3Bl1"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.02 M phosphate buffered D2O"	""	""	"7.4"	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III HD 700 MHz spectrometer"	""	""	"5 mm PATXI 1H-13C/15N/D Z-GRD"	""	""	"200"	"1D 1H with presaturation (zgpr)"	"16.4"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"R3Bl1"	"R3Bl1.rar"	"Data transformation"	""	""	"Metabolite identification"	""	"m_rabpmi_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
