"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivar]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extract]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Yunpoong_hydrophilics_1"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Yunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Yunpoong_hydrophilics_1"	"Yunpoong"	""	""	"Hydrophilic"	""	""	"1"	""	""
"Yunpoong_hydrophilics_2"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Yunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Yunpoong_hydrophilics_2"	"Yunpoong"	""	""	"Hydrophilic"	""	""	"2"	""	""
"Yunpoong_hydrophilics_3"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Yunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Yunpoong_hydrophilics_3"	"Yunpoong"	""	""	"Hydrophilic"	""	""	"3"	""	""
"Gumpoong_hydrophilics_1"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Gumpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Gumpoong_hydrophilics_1"	"Gumpoong"	""	""	"Hydrophilic"	""	""	"1"	""	""
"Gumpoong_hydrophilics_2"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Gumpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Gumpoong_hydrophilics_2"	"Gumpoong"	""	""	"Hydrophilic"	""	""	"2"	""	""
"Gumpoong_hydrophilics_3"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Gumpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Gumpoong_hydrophilics_3"	"Gumpoong"	""	""	"Hydrophilic"	""	""	"3"	""	""
"Chunpoong_hydrophilics_1"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Chunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Chunpoong_hydrophilics_1"	"Chunpoong"	""	""	"Hydrophilic"	""	""	"1"	""	""
"Chunpoong_hydrophilics_2"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Chunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Chunpoong_hydrophilics_2"	"Chunpoong"	""	""	"Hydrophilic"	""	""	"2"	""	""
"Chunpoong_hydrophilics_3"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Chunpoong"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Chunpoong_hydrophilics_3"	"Chunpoong"	""	""	"Hydrophilic"	""	""	"3"	""	""
"Cheongsun_hydrophilics_1"	"Panax ginseng"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4054"	"Panax ginseng cv. Cheongsun"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Cheongsun_hydrophilics_1"	"Cheongsun"	""	""	"Hydrophilic"	""	""	"1"	""	""
