"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"CB1_DC50002"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CB1_DC50002"	"CB1_DC50002.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB2_DC50015"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CB2_DC50015"	"CB2_DC50015.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB3_DC50028"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CB3_DC50028"	"CB3_DC50028.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CB4_DC50041"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CB4_DC50041"	"CB4_DC50041.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CS1_DC50005"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CS1_DC50005"	"CS1_DC50005.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CS2_DC50018"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CS2_DC50018"	"CS2_DC50018.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CS3_DC50031"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CS3_DC50031"	"CS3_DC50031.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"CS4_DC50044"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CS4_DC50044"	"CS4_DC50044.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pool1_DC50000"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool1_DC50000"	"Pool1_DC50000.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pool2_DC50000"	"Extraction"	"chloroform/methanol/water"	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"FAMOS autosampler"	""	""	"ZIC-HILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"70–1400"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"Pool2_DC50000"	"Pool2_DC50000.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls360_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
