"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental group]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue location]"	"Term Source REF"	"Term Accession Number"
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A1"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A2"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A3"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A4"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A5"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A6"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A7"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A8"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A9"	"UUO"	""	""	"left kidney"	""	""
"RIF_A"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"A10"	"UUO"	""	""	"left kidney"	""	""
