"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[station]"	"Term Source REF"	"Term Accession Number"	"Factor Value[depth]"	"Unit"	"Term Source REF"	"Term Accession Number"
"PPL6p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL6p"	"3"	""	""	"4500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL7p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL7p"	"3"	""	""	"2500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL8p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL8p"	"3"	""	""	"0"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL9p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL9p"	"5"	""	""	"3500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL10p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL10p"	"5"	""	""	"2800"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL11p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL11p"	"5"	""	""	"2100"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL12p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL12p"	"5"	""	""	"1500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL13p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL13p"	"5"	""	""	"700"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL14p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL14p"	"5"	""	""	"60"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL15p"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL15p"	"5"	""	""	"0"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL6n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL6n"	"3"	""	""	"4500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL7n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL7n"	"3"	""	""	"2500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL8n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL8n"	"3"	""	""	"0"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL9n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL9n"	"5"	""	""	"3500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL10n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL10n"	"5"	""	""	"2800"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL11n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL11n"	"5"	""	""	"2100"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL12n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL12n"	"5"	""	""	"1500"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL13n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL13n"	"5"	""	""	"700"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL14n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL14n"	"5"	""	""	"60"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
"PPL15n"	"sea water"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_00002149"	"exometabolome"	""	""	"Sample collection"	"PPL15n"	"5"	""	""	"0"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"
