"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Pig 1 - T12"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"1.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 1 - T18"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"2.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 1 - T24"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"3.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 2 - T12"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"4.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 2 - T18"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"5.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 2 - T24"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"6.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 3 - T6"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"7.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 3 - T12 "	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"28.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 3 - T18"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"8.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
"Pig 3 - T24"	"Extraction"	"Methanol/Chloroform"	"Perfusate"	"NMR sample"	"1.7 mm standard"	""	""	"0.1 M phosphate buffered D2O/H2O"	""	""	"7"	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 600 MHz spectrometer"	""	""	"1.7 mm CPTCI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D NOESY with presaturation and spoil gradients (noesygppr1d)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"N/A"	"9.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"Fourier transform"	"m_mtbls367_NMR_spectroscopy_v2_maf.tsv"
