"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Material sample]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time elapsed]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Pig 1 - T12"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 1 - T12"	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 1 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 1 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 1 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 1 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 2 - T12"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 2 - T12"	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 2 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 2 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 2 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 2 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 3 - T6"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 3 - T6"	"Perfusate"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 3 - T12 "	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 3 - T12 "	"Perfusate"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 3 - T18"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 3 - T18"	"Perfusate"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Pig 3 - T24"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"Pig 3 - T24"	"Perfusate"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
