"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Phase]"	"Term Source REF"	"Term Accession Number"
"mut_t1_a"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t1_a"	"Stm6Glc4"	""	""	"t1"	""	""
"mut_t1_b"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t1_b"	"Stm6Glc4"	""	""	"t1"	""	""
"mut_t1_c"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t1_c"	"Stm6Glc4"	""	""	"t1"	""	""
"mut_t2_a"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t2_a"	"Stm6Glc4"	""	""	"t2"	""	""
"mut_t2_b"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t2_b"	"Stm6Glc4"	""	""	"t2"	""	""
"mut_t2_c"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"mut_t2_c"	"Stm6Glc4"	""	""	"t2"	""	""
"wt_t1_a"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t1_a"	"CC406"	""	""	"t1"	""	""
"wt_t1_b"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t1_b"	"CC406"	""	""	"t1"	""	""
"wt_t1_c"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t1_c"	"CC406"	""	""	"t1"	""	""
"wt_t2_a"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t2_a"	"CC406"	""	""	"t2"	""	""
"wt_t2_b"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t2_b"	"CC406"	""	""	"t2"	""	""
"wt_t2_c"	"Chlamydomonas reinhardtii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3055"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"wt_t2_c"	"CC406"	""	""	"t2"	""	""
