"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"FBS_QC1_01"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_01"	"FBS_QC1_01.raw"	"Data transformation"	"FBS_QC1_01"	"FBS_QC1_01.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FBS_QC1_02"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_02"	"FBS_QC1_02.raw"	"Data transformation"	"FBS_QC1_02"	"FBS_QC1_02.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FBS_QC1_03"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_03"	"FBS_QC1_03.raw"	"Data transformation"	"FBS_QC1_03"	"FBS_QC1_03.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FBS_QC1_04"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_04"	"FBS_QC1_04.raw"	"Data transformation"	"FBS_QC1_04"	"FBS_QC1_04.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FBS_QC1_05"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_05"	"FBS_QC1_05.raw"	"Data transformation"	"FBS_QC1_05"	"FBS_QC1_05.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"FBS_QC1_06"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"FBS_QC1_06"	"FBS_QC1_06.raw"	"Data transformation"	"FBS_QC1_06"	"FBS_QC1_06.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"PPP_Mix"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"PPP_Mix"	"PPP_Mix.raw"	"Data transformation"	"PPP_Mix"	"PPP_Mix.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAM3"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"SAM3"	"SAM3.raw"	"Data transformation"	"SAM3"	"SAM3.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SAC2"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"SAC2"	"SAC2.raw"	"Data transformation"	"SAC2"	"SAC2.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MO6"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Thermo Scientific TRACE 1310 GC"	""	""	"Thermo Scientific TriPlus RSH Autosampler"	""	""	"TraceGOLD TG-5SilMS (0.25 µm, 0.25 mm x 30 m; Thermo Scientific)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Thermo Scientific Q Exactive"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"MO6"	"MO6.raw"	"Data transformation"	"MO6"	"MO6.mzML"	"Metabolite identification"	""	"m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
