"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time after treatment]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"WT_1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_1"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_2"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_3"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_4"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_5"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_6"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_6"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_7"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_7"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_8"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_8"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_9"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_9"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
"WT_10"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Wassilewskija ecotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005156"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"WT_10"	"wild type"	""	""	"no treatment"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Exp1"	""	""
