"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIpid_std_3_mix_FDR3.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIpid_std_195_206_mix1_CE20_Neg.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIpid_std_195_206_mix1_NEG_CE_20.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIpid_std_FDR2_mix2_CE20_Neg.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIPID_STD_MIX_FDR_1_2mix_all_10_CE10.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIPID_STD_MIX_FDR_1_2mix_all_10_CE20_neg.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIPID_STD_MIX_FDR_1_2mix_all_10_CE20.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIPID_STD_MIX_FDR_1_2mix_all_10_CE30_neg.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"LIPID_STD_MIX_FDR_1_2mix_all_10_pos_CE_10_30.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
"MB3"	"Extraction"	""	"none"	"Bligh and Dyer"	"Chromatography"	"Agilent 1260 Infinity LC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 100 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"150-900"	"Thermo Scientific Q Exactive Plus"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	""	"Mouse_Brain2_CHCL3_Lip_old_ext_Neg_New_incl_list_CE20.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_fdrc-lc-ms_metabolite_profiling2_mass_spectrometry_v2_maf.tsv"
