"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[honeybee]"	"Term Source REF"	"Term Accession Number"
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930001"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930002"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930003"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930004"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930005"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930006"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930007"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930008"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930009"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930010"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930011"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930012"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930013"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930014"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930015"	"mite infestation"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930016"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930017"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930018"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930019"	"Control"	""	""
"Apis cerana brain"	"Apis cerana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7461"	"brain"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000142"	"Sample collection"	"p1505930020"	"Control"	""	""
