"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"BAT_0_1"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_1"	"CC_WB_BAT_0_1.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_2"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_2"	"CC_WB_BAT_0_2.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_3"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_3"	"CC_WB_BAT_0_3.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_4"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_4"	"CC_WB_BAT_0_4.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_5"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_5"	"CC_WB_BAT_0_5.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_6"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_6"	"CC_WB_BAT_0_6.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_7"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_7"	"CC_WB_BAT_0_7.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_8"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_8"	"CC_WB_BAT_0_8.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_9"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_9"	"CC_WB_BAT_0_9.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"BAT_0_10"	"Extraction"	"methanol:chloroform (2:1 v/v) "	""	"NMR sample"	"5 mm standard"	""	""	"D2O"	""	""	""	"300"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE II+ 500 MHz spectrometer"	""	""	"5 mm TXI D/1H-13C/15N Z-GRD"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"acqus.txt"	"NMR assay"	"BAT_0_10"	"CC_WB_BAT_0_10.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
