"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Mice_1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_1"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_2"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_3"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_4"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_5"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_6"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_7"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_8"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_9"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"WT"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_10"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Mice_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"BAT_0_11"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
