"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Injection batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Extraction method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"
"20160502_011"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_011"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_012"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_012"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_013"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_013"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_014"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_014"	"B1"	""	""	"methanol"	""	""	"treated"	""	""
"20160502_015"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_015"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_016"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_016"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_017"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_017"	"B1"	""	""	"methanol plus water"	""	""	"control"	""	""
"20160502_018"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_018"	"B1"	""	""	"methanol"	""	""	"treated"	""	""
"20160502_019"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_019"	"B1"	""	""	"NA"	""	""	"QC"	""	""
"20160502_021"	"Sus scrofa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9823"	"Sus scrofa domesticus"	"NIFSTD"	"http://purl.obolibrary.org/obo/NCBITaxon_9825"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"20160502_021"	"B1"	""	""	"methanol"	""	""	"control"	""	""
