"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Pixel size x]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Pixel size y]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max count of pixel x]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max count of pixel y]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max dimension x]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Max dimension y]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector mode]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spectrum representation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw datafile format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Line scan direction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Linescan sequence]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan pattern]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of scans]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"LNTO22_1_1"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"95"	""	""	"68"	""	""	"7125"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"5100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"6460"	""	""	"LNTO22_1_1"	"LNTO22_1_1.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_1.jpg"	""	""	"Data transformation"	""	"LNTO22_1_1.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_3"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"121"	""	""	"68"	""	""	"9075"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"5100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"8228"	""	""	"LNTO22_1_3"	"LNTO22_1_3.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_3.jpg"	""	""	"Data transformation"	""	"LNTO22_1_3.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_4"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"82"	""	""	"80"	""	""	"6150"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"6000"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"6560"	""	""	"LNTO22_1_4"	"LNTO22_1_4.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_4.jpg"	""	""	"Data transformation"	""	"LNTO22_1_4.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_5"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"135"	""	""	"94"	""	""	"10125"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"7050"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"12690"	""	""	"LNTO22_1_5"	"LNTO22_1_5.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_5.jpg"	""	""	"Data transformation"	""	"LNTO22_1_5.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_6"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"95"	""	""	"81"	""	""	"7125"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"6075"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"7695"	""	""	"LNTO22_1_6"	"LNTO22_1_6.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_6.jpg"	""	""	"Data transformation"	""	"LNTO22_1_6.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_7"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"69"	""	""	"54"	""	""	"5175"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"4050"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"3726"	""	""	"LNTO22_1_7"	"LNTO22_1_7.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_7.jpg"	""	""	"Data transformation"	""	"LNTO22_1_7.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_8"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"69"	""	""	"61"	""	""	"5175"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"4575"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"4209"	""	""	"LNTO22_1_8"	"LNTO22_1_8.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_8.jpg"	""	""	"Data transformation"	""	"LNTO22_1_8.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_1_9"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"89"	""	""	"74"	""	""	"6675"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"5550"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"6586"	""	""	"LNTO22_1_9"	"LNTO22_1_9.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_1_9.jpg"	""	""	"Data transformation"	""	"LNTO22_1_9.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_2_1"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"89"	""	""	"88"	""	""	"6675"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"6600"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"7832"	""	""	"LNTO22_2_1"	"LNTO22_2_1.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_2_1.jpg"	""	""	"Data transformation"	""	"LNTO22_2_1.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
"LNTO22_2_2"	"Preparation"	"Glass slide"	""	""	"Fresh frozen"	""	""	"Thermo Shandon"	""	""	"15"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol"	""	""	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"75"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"135"	""	""	"94"	""	""	"10125"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"7050"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"inductive detector"	"MS"	"http://purl.obolibrary.org/obo/MS_1000624"	"pulse counting"	"MS"	"http://purl.obolibrary.org/obo/MS_1000118"	"Thermo nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000768"	"centroid spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000127"	"Thermo RAW"	"MS"	"http://purl.obolibrary.org/obo/MS_1000563"	"Xcalibur v1.1-135101/1.1.2.1351"	""	""	"linescan left right"	""	""	"top down"	""	""	"flyback"	""	""	"horizontal line scan"	""	""	"12690"	""	""	"LNTO22_2_2"	"LNTO22_2_2.ibd"	""	"Histology"	"Hematoxylin and Eosin Staining Method and AE1/AE3 antibody"	""	""	""	""	""	"LNTO22_2_2.jpg"	""	""	"Data transformation"	""	"LNTO22_2_2.imzML"	"Metabolite identification"	"custom unreleased software v1.1 beta"	""	""	""	""	""
