"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Mouse liver1"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver1_002.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver1"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver1_003.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver1"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver1_004.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver1"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver1_005.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver1"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver1_006.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver2"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver2_008.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver2"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver2_009.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver2"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver2_010.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver2"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver2_011.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"Mouse liver2"	"Extraction"	""	""	""	"Chromatography"	"Dionex Ultimate XRS UHPLC"	""	""	"BEH C8 column (100 x 1 mm, 1.7 µm)"	"CHMO:reversed-phase liquid chromatography"	""	""	""	""	"Mass spectrometry"	"negative"	"400-1000"	"LTQ Orbitrap Velos"	"MS"	"http://purl.obolibrary.org/obo/MS_1001742"	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"Orbitrap velos CID negative (Thermo Scientific)"	"Orbitrap_velos_CID_negative_Liver2_012.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lda2_biological_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
