"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"L_01_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_01_1          "	"Col-0"	""	""
"L_02_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_02_1          "	"Col-0"	""	""
"L_03_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_03_1          "	"Col-0"	""	""
"L_04_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_04_1          "	"Col-0"	""	""
"L_05_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_05_1          "	"Col-0"	""	""
"L_06_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_06_1          "	"Col-0"	""	""
"L_08_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_08_1          "	"Col-0"	""	""
"L_09_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_09_1          "	"Col-0"	""	""
"L_10_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_10_1          "	"Col-0"	""	""
"L_11_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_11_1          "	"Col-0"	""	""
"L_12_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_12_1          "	"Col-0"	""	""
"L_13_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_13_1          "	"Col-0"	""	""
"L_16_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_16_1          "	"Col-0"	""	""
"L_17_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_17_1          "	"Col-0"	""	""
"L_18_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_18_1          "	"Col-0"	""	""
"L_19_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_19_1          "	"Col-0"	""	""
"L_20_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_20_1          "	"Col-0"	""	""
"L_21_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_21_1          "	"tt4"	""	""
"L_22_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_22_1          "	"tt4"	""	""
"L_23_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_23_1          "	"tt4"	""	""
"L_24_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_24_1          "	"tt4"	""	""
"L_25_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_25_1          "	"tt4"	""	""
"L_26_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_26_1          "	"tt4"	""	""
"L_27_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_27_1          "	"tt4"	""	""
"L_28_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_28_1          "	"tt4"	""	""
"L_29_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_29_1          "	"tt4"	""	""
"L_30_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_30_1          "	"tt4"	""	""
"L_31_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_31_1          "	"tt4"	""	""
"L_32_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_32_1          "	"tt4"	""	""
"L_33_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_33_1          "	"tt4"	""	""
"L_34_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_34_1          "	"tt4"	""	""
"L_35_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_35_1          "	"tt4"	""	""
"L_36_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_36_1          "	"tt4"	""	""
"L_37_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_37_1          "	"tt4"	""	""
"L_38_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_38_1          "	"tt4"	""	""
"L_39_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_39_1          "	"tt4"	""	""
"L_40_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_40_1          "	"tt4"	""	""
"L_42_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_42_1          "	"mto1"	""	""
"L_44_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_44_1          "	"mto1"	""	""
"L_45_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_45_1          "	"mto1"	""	""
"L_46_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_46_1          "	"mto1"	""	""
"L_47_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_47_1          "	"mto1"	""	""
"L_48_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_48_1          "	"mto1"	""	""
"L_50_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_50_1          "	"mto1"	""	""
"L_51_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_51_1          "	"mto1"	""	""
"L_52_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_52_1          "	"mto1"	""	""
"L_53_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_53_1          "	"mto1"	""	""
"L_54_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_54_1          "	"mto1"	""	""
"L_57_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_57_1          "	"mto1"	""	""
"L_60_1          "	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"aerial part"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001658"	"Sample collection"	"L_60_1          "	"mto1"	""	""
"alkane_1"	"Alkane standard"	""	""	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"alkane_1"	"alkane"	""	""
