"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Remote ischemic conditioning]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subject]"	"Term Source REF"	"Term Accession Number"
"human plasma, after, subject 1 "	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_4.5a"	"After"	""	""	"A"	""	""	"1"	""	""
"human plasma, after, subject 1 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_4.5b"	"After"	""	""	"B"	""	""	"1"	""	""
"human plasma, after, subject 10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_4.5a"	"After"	""	""	"A"	""	""	"10"	""	""
"human plasma, after, subject 10 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_4.5b"	"After"	""	""	"B"	""	""	"10"	""	""
"human plasma, after, subject 2 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_4.5b"	"After"	""	""	"B"	""	""	"2"	""	""
"human plasma, after, subject 3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_4.5a"	"After"	""	""	"A"	""	""	"3"	""	""
"human plasma, after, subject 3 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_4.5b"	"After"	""	""	"B"	""	""	"3"	""	""
"human plasma, after, subject 4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_4.5a"	"After"	""	""	"A"	""	""	"4"	""	""
"human plasma, after, subject 4 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_4.5b"	"After"	""	""	"B"	""	""	"4"	""	""
"human plasma, after, subject 5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_4.5a"	"After"	""	""	"A"	""	""	"5"	""	""
"human plasma, after, subject 5 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_4.5b"	"After"	""	""	"B"	""	""	"5"	""	""
"human plasma, after, subject 6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_4.5a"	"After"	""	""	"A"	""	""	"6"	""	""
"human plasma, after, subject 6 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_4.5b"	"After"	""	""	"B"	""	""	"6"	""	""
"human plasma, after, subject 7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_4.5a"	"After"	""	""	"A"	""	""	"7"	""	""
"human plasma, after, subject 7 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_4.5b"	"After"	""	""	"B"	""	""	"7"	""	""
"human plasma, after, subject 8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_4.5a"	"After"	""	""	"A"	""	""	"8"	""	""
"human plasma, after, subject 8 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_4.5b"	"After"	""	""	"B"	""	""	"8"	""	""
"human plasma, after, subject 9 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_4.5b"	"After"	""	""	"B"	""	""	"9"	""	""
"human plasma, before, subject 1 "	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_0a"	"Before"	""	""	"A"	""	""	"1"	""	""
"human plasma, before, subject 1 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_0b"	"Before"	""	""	"B"	""	""	"1"	""	""
"human plasma, before, subject 10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_0a"	"Before"	""	""	"A"	""	""	"10"	""	""
"human plasma, before, subject 10 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"10_0b"	"Before"	""	""	"B"	""	""	"10"	""	""
"human plasma, before, subject 2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_0a"	"Before"	""	""	"A"	""	""	"2"	""	""
"human plasma, before, subject 2 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2_0b"	"Before"	""	""	"B"	""	""	"2"	""	""
"human plasma, before, subject 3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_0a"	"Before"	""	""	"A"	""	""	"3"	""	""
"human plasma, before, subject 3 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"3_0b"	"Before"	""	""	"B"	""	""	"3"	""	""
"human plasma, before, subject 4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_0a"	"Before"	""	""	"A"	""	""	"4"	""	""
"human plasma, before, subject 4 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"4_0b"	"Before"	""	""	"B"	""	""	"4"	""	""
"human plasma, before, subject 5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_0a"	"Before"	""	""	"A"	""	""	"5"	""	""
"human plasma, before, subject 5 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"5_0b"	"Before"	""	""	"B"	""	""	"5"	""	""
"human plasma, before, subject 6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_0a"	"Before"	""	""	"A"	""	""	"6"	""	""
"human plasma, before, subject 6 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"6_0b"	"Before"	""	""	"B"	""	""	"6"	""	""
"human plasma, before, subject 7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_0a"	"Before"	""	""	"A"	""	""	"7"	""	""
"human plasma, before, subject 7 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7_0b"	"Before"	""	""	"B"	""	""	"7"	""	""
"human plasma, before, subject 8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_0a"	"Before"	""	""	"A"	""	""	"8"	""	""
"human plasma, before, subject 8 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"8_0b"	"Before"	""	""	"B"	""	""	"8"	""	""
"human plasma, before, subject 9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_0a"	"Before"	""	""	"A"	""	""	"9"	""	""
"human plasma, before, subject 9 biological replicate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"9_0b"	"Before"	""	""	"B"	""	""	"9"	""	""
"human plasma, after, subject 1 negative"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"1_4.5a_neg"	"After"	""	""	"A"	""	""	"1"	""	""
