"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Section location]"	"Term Source REF"	"Term Accession Number"
"Slide 3"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"120TopL, 90TopR, 110BottomL, 100BottomR"	"120TopL, 90TopR, 110BottomL, 100BottomR"	""	""
"Slide 4"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"160TopL,130TopR,150BottomL,140BottomR"	"160TopL,130TopR,150BottomL,140BottomR"	""	""
"Slide 5"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"200TopL, 170TopR, 190BottomL, 180BottomR"	"200TopL, 170TopR, 190BottomL, 180BottomR"	""	""
"Slide 6"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"240TopL, 210TopR, 230BottomL, 220BottomR"	"240TopL, 210TopR, 230BottomL, 220BottomR"	""	""
"Slide 7"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"280TopL, 250TopR, 270BottomL, 260BottomR"	"280TopL, 250TopR, 270BottomL, 260BottomR"	""	""
"Slide 8"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"320TopL, 290TopR, 310BottomL, 300BottomR"	"320TopL, 290TopR, 310BottomL, 300BottomR"	""	""
"Slide 9"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"360TopL, 330TopR, 350BottomL, 340BottomR"	"360TopL, 330TopR, 350BottomL, 340BottomR"	""	""
"Slide 10"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"400TopL, 370TopR, 390BottomL, 380BottomR"	"400TopL, 370TopR, 390BottomL, 380BottomR"	""	""
"Slide 1"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"40TopL,10TopL,30BottomL,20BottomR"	"40TopL,10TopL,30BottomL,20BottomR"	""	""
"Slide 11"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"439TopL, 409TopR, 429BottomL, 419BottomR"	"439TopL, 409TopR, 429BottomL, 419BottomR"	""	""
"Slide 12"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"480TopL, 450TopR, 470BottomL, 460BottomR"	"480TopL, 450TopR, 470BottomL, 460BottomR"	""	""
"Slide 13"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"520TopL, 490TopR, 510BottomL, 500BottomR"	"520TopL, 490TopR, 510BottomL, 500BottomR"	""	""
"Slide 2"	"Homo sapiens"	"NCBITAXON"	""	"colorectal adenocarcinoma"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000365"	"Sample collection"	"80TopL, 50TopR, 70BottomL, 60BottomR"	"80TopL, 50TopR, 70BottomL, 60BottomR"	""	""
