"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"P1602300001"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300001"	"P1602300001_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300002"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300002"	"P1602300002_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300003"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300003"	"P1602300003_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300004"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300004"	"P1602300004_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300005"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300005"	"P1602300005_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300006"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300006"	"P1602300006_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300007"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300007"	"P1602300007_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300008"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300008"	"P1602300008_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300009"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300009"	"P1602300009_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
"P1602300010"	"Extraction"	"90 μl methanol/water, 10/90(v/v)"	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Waters 2777 Sample Manager"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"50-1200"	"Waters Xevo G2-XS QTof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"P1602300010"	"P1602300010_POS.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls418_POS_mass_spectrometry_v2_maf.tsv"
