"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"
"C1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"C8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"C8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"NS"	""	""
"DHA1-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA1-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA2-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA2-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA3-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA3-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA7-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA7-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
"DHA8-6h-MET"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"hepatoma cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000608"	"Sample collection"	"DHA8-6h-MET"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"DHA"	""	""
