"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"6275if_14"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_14"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_14"	"6275if_14"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_19"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_19"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_19"	"6275if_19"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_24"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_24"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_24"	"6275if_24"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_29"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_29"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_29"	"6275if_29"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_34"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_34"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_34"	"6275if_34"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_9"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_9"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_9"	"6275if_9"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_10"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_10"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_10"	"6275if_10"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_15"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_15"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_15"	"6275if_15"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_20"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_20"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_20"	"6275if_20"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
"6275if_25"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"6275if_25"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"6275if_25"	"6275if_25"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Mining for metabolic responses to long-term salt stress a case study on Arabidopsis thaliana Col-0 (C)_v2_maf.tsv"
