Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Cartridge type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
1	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_1_pos_MM	20150813_1_pos_MM.d	Data transformation			Metabolite identification		
2	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_2_pos_MM	20150813_2_pos_MM.d	Data transformation			Metabolite identification		
3	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_3_pos_MM	20150813_3_pos_MM.d	Data transformation			Metabolite identification		
4	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_4_pos_MM	20150813_4_pos_MM.d	Data transformation			Metabolite identification		
5	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_5_pos_MM	20150813_5_pos_MM.d	Data transformation			Metabolite identification		
6	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_6_pos_MM	20150813_6_pos_MM.d	Data transformation			Metabolite identification		
7	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_7_pos_MM	20150813_7_pos_MM.d	Data transformation			Metabolite identification		
8	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_8_pos_MM	20150813_8_pos_MM.d	Data transformation			Metabolite identification		
9	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_9_pos_MM	20150813_9_pos_MM.d	Data transformation			Metabolite identification		
10	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_10_pos_MM	20150813_10_pos_MM.d	Data transformation			Metabolite identification		
11	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_11_pos_MM	20150813_11_pos_MM.d	Data transformation			Metabolite identification		
12	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_12_pos_MM	20150813_12_pos_MM.d	Data transformation			Metabolite identification		
15	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_15_pos_MM	20150813_15_pos_MM.d	Data transformation			Metabolite identification		
16	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_16_pos_MM	20150813_16_pos_MM.d	Data transformation			Metabolite identification		
17	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_17_pos_MM	20150813_17_pos_MM.d	Data transformation			Metabolite identification		
18	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_18_pos_MM	20150813_18_pos_MM.d	Data transformation			Metabolite identification		
19	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_19_pos_MM	20150813_19_pos_MM.d	Data transformation			Metabolite identification		
20	Extraction	methanol			Chromatography	Agilent RapidFire 365				mixed mode							Mass spectrometry	positive	50-1500	Agilent 6560 Ion Mobility QTOF MS			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150813_20_pos_MM	20150813_20_pos_MM.d	Data transformation			Metabolite identification		
