"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"P1_100730_PAs_004"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"1_F2_60110_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1_F2_60110_LS"	"P1_100730_PAs_004.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_005"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"2_F2_60118_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"2_F2_60118_LS"	"P1_100730_PAs_005.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_006"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"3_F2_60129_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"3_F2_60129_LS"	"P1_100730_PAs_006.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_007"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"4_F2_60146_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"4_F2_60146_LS"	"P1_100730_PAs_007.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_008"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"5_F2_60156_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"5_F2_60156_LS"	"P1_100730_PAs_008.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_009"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"6_F2_60159_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"6_F2_60159_LS"	"P1_100730_PAs_009.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_010"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"7_F2_60161_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"7_F2_60161_LS"	"P1_100730_PAs_010.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_013"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"10_F2_60185_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"10_F2_60185_LS"	"P1_100730_PAs_013.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_014"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"11_F2_60215_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"11_F2_60215_LS"	"P1_100730_PAs_014.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"P1_100730_PAs_015"	"Extraction"	"Concentration by SPE, dissolve in 500 µl water"	"none"	"12_F2_60217_LS"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reversed phase"	""	""	""	""	"Mass spectrometry"	"positive"	""	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"12_F2_60217_LS"	"P1_100730_PAs_015.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_pas_leaf_surface_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
