"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample location]"	"Term Source REF"	"Term Accession Number"
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_004"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_005"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_006"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_007"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_008"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_009"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_010"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_013"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_014"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_015"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_016"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_017"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_018"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_019"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_020"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_022"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_023"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_024"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_025"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_026"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_027"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_028"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_029"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_030"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_031"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_032"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_033"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_034"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_035"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_036"	"Leaf surface"	""	""
"Jacobaea F2 cross"	"Jacobaea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/405757"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"P1_100730_PAs_037"	"Leaf surface"	""	""
