"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[inflammation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"
"QC__30min_pos-neg_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q01"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q02"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q03"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q04"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_42"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q05"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q06"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_54"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q07"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q08"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_66"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q09"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_72"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q10"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
