"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"AX1"	"Extraction"	""	""	"AX1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"AX1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"AX1_GB5_01_10470"	"AX1_GB5_01_10470.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BD1"	"Extraction"	""	""	"BD1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"BD1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"BD1_GA3_01_10459"	"BD1_GA3_01_10459.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BL1"	"Extraction"	""	""	"BL1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"BL1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"BL1_GA6_01_10462"	"BL1_GA6_01_10462.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BL2"	"Extraction"	""	""	"BL2"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"BL2"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"BL2_GA5_01_10461"	"BL2_GA5_01_10461.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"BR1"	"Extraction"	""	""	"BR1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"BR1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"BR1_GB6_01_10471"	"BR1_GB6_01_10471.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"EX1"	"Extraction"	""	""	"EX1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"EX1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"EX1_GA2_01_10458"	"EX1_GA2_01_10458.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Fusty"	"Extraction"	""	""	"Fusty"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Fusty"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Fusty_GC3_01_10476"	"Fusty_GC3_01_10476.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"KA1"	"Extraction"	""	""	"KA1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"KA1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"KA1_GB1_01_10465"	"KA1_GB1_01_10465.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LP1"	"Extraction"	""	""	"LP1"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"LP1"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"LP1_GB3_01_10467"	"LP1_GB3_01_10467.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Musty"	"Extraction"	""	""	"Musty"	"Chromatography"	"Thermo Scientific Dionex UltiMate 3000 RSLC System"	""	""	"ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)"	""	""	"Musty"	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Bruker maXis impact UHR-QTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"Musty_GC4_01_10477"	"Musty_GC4_01_10477.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls433_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
