"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[label]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sample type]"	"Term Source REF"	"Term Accession Number"
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"labled-1-leave"	"Exp1"	""	""	"labled"	""	""	"leaf sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"labled-2-leave"	"Exp1"	""	""	"labled"	""	""	"leaf sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"labled-3-leave"	"Exp1"	""	""	"labled"	""	""	"leaf sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"unlabled-1-leave"	"Exp2"	""	""	"unlabled"	""	""	"leaf sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"unlabled-2-leave"	"Exp2"	""	""	"unlabled"	""	""	"leaf sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"unlabled-3-leave"	"Exp2"	""	""	"unlabled"	""	""	"leaf sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"labled-1-stem"	"Exp1"	""	""	"labled"	""	""	"stem sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"labled-2-stem"	"Exp1"	""	""	"labled"	""	""	"stem sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"labled-3-stem"	"Exp1"	""	""	"labled"	""	""	"stem sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"unlabled-1-stem"	"Exp2"	""	""	"unlabled"	""	""	"stem sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"unlabled-2-stem"	"Exp2"	""	""	"unlabled"	""	""	"stem sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"unlabled-3-stem"	"Exp2"	""	""	"unlabled"	""	""	"stem sample"	""	""
"ring-13C-labled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"labled-mix-root"	"Exp1"	""	""	"labled"	""	""	"pooled root sample"	""	""
"unlabled-Group"	"Macleaya cordata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/56857"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"unlabled-mix-root"	"Exp2"	""	""	"unlabled"	""	""	"pooled root sample"	""	""
