"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"liver_C_01"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_01"	"RP_POS_liver_C_01.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_02"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_02"	"RP_POS_liver_C_02.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_03"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_03"	"RP_POS_liver_C_03.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_04"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_04"	"RP_POS_liver_C_04.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_05"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_05"	"RP_POS_liver_C_05.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_06"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_06"	"RP_POS_liver_C_06.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_07"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_07"	"RP_POS_liver_C_07.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_08"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_08"	"RP_POS_liver_C_08.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_09"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_09"	"RP_POS_liver_C_09.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
"liver_C_10"	"Extraction"	"250 µl of 50/50 methanol/water (v/v)"	"none"	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"70-1000"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"RP_POS_liver_C_10"	"RP_POS_liver_C_10.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls436_POS_RP_mass_spectrometry_v2_maf.tsv"
