"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Anabolic treatment]"	"Term Source REF"	"Term Accession Number"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_01"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_02"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_03"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_04"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_05"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_06"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_07"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_08"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_09"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_10"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_11"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_12"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
"IZSVe_RF2008_B22"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Charolais"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000073"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"liver_C_13"	"Control group"	"BIRNLEX"	"http://bioontology.org/projects/ontologies/birnlex#birnlex_2201"
