"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"E546-DD55-4a_24hDex-24hH2O_1-B,6_01_7379"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-DD55-4a_24hDex-24hH2O_1-B,6_01_7379"	"pos_E546-DD55-4a_24hDex-24hH2O_1-B,6_01_7379.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-DD55-4a_6hDex-24hH2O_1-B,2_01_7373"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-DD55-4a_6hDex-24hH2O_1-B,2_01_7373"	"pos_E546-DD55-4a_6hDex-24hH2O_1-B,2_01_7373.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-DD55-4b_24hDex-24hH2O_1-B,8_01_7381"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-DD55-4b_24hDex-24hH2O_1-B,8_01_7381"	"pos_E546-DD55-4b_24hDex-24hH2O_1-B,8_01_7381.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-DD55-4b_6hDex-24hH2O_1-B,4_01_7377"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-DD55-4b_6hDex-24hH2O_1-B,4_01_7377"	"pos_E546-DD55-4b_6hDex-24hH2O_1-B,4_01_7377.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-KR51-6a_24hDex-24hH2O_1-B,5_01_7378"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-KR51-6a_24hDex-24hH2O_1-B,5_01_7378"	"pos_E546-KR51-6a_24hDex-24hH2O_1-B,5_01_7378.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-KR51-6a_6hDex-24hH2O_1-B,1_01_7372"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-KR51-6a_6hDex-24hH2O_1-B,1_01_7372"	"pos_E546-KR51-6a_6hDex-24hH2O_1-B,1_01_7372.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-KR51-6b_24hDex-24hH2O_1-B,7_01_7380"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-KR51-6b_24hDex-24hH2O_1-B,7_01_7380"	"pos_E546-KR51-6b_24hDex-24hH2O_1-B,7_01_7380.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546-KR51-6b_6hDex-24hH2O_1-B,3_01_7376"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E546-KR51-6b_6hDex-24hH2O_1-B,3_01_7376"	"pos_E546-KR51-6b_6hDex-24hH2O_1-B,3_01_7376.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E545-DD55-4a_24hDex-24hH2O_1-A,6_01_7368"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E545-DD55-4a_24hDex-24hH2O_1-A,6_01_7368"	"pos_E545-DD55-4a_24hDex-24hH2O_1-A,6_01_7368.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E545-DD55-4a_6hDex-24hH2O_1-A,2_01_7364"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"pos_E545-DD55-4a_6hDex-24hH2O_1-A,2_01_7364"	"pos_E545-DD55-4a_6hDex-24hH2O_1-A,2_01_7364.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_exudate_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
