"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"E546_DD55-4a_24hDex-24hH2O_2-B,5_01_7417"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_DD55-4a_24hDex-24hH2O_2-B,5_01_7417"	"neg_E546_DD55-4a_24hDex-24hH2O_2-B,5_01_7417.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_DD55-4a_6hDex-24hH2O_2-B,2_01_7413"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_DD55-4a_6hDex-24hH2O_2-B,2_01_7413"	"neg_E546_DD55-4a_6hDex-24hH2O_2-B,2_01_7413.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_DD55-4b_24hDex-24hH2O_2-B,7_01_7419"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_DD55-4b_24hDex-24hH2O_2-B,7_01_7419"	"neg_E546_DD55-4b_24hDex-24hH2O_2-B,7_01_7419.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_DD55-4b_6hDex-24hH2O_2-B,3_01_7415"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_DD55-4b_6hDex-24hH2O_2-B,3_01_7415"	"neg_E546_DD55-4b_6hDex-24hH2O_2-B,3_01_7415.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_KR51-6a_24hDex-24hH2O_2-B,4_01_7416"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_KR51-6a_24hDex-24hH2O_2-B,4_01_7416"	"neg_E546_KR51-6a_24hDex-24hH2O_2-B,4_01_7416.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7412"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7412"	"neg_E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7412.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7414"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7414"	"neg_E546_KR51-6a_6hDex-24hH2O_2-B,1_01_7414.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E546_KR51-6b_24hDex-24hH2O_2-B,6_01_7418"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E546_KR51-6b_24hDex-24hH2O_2-B,6_01_7418"	"neg_E546_KR51-6b_24hDex-24hH2O_2-B,6_01_7418.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E545_DD55-4a_24hDex-24hH2O_2-A,6_01_7406"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E545_DD55-4a_24hDex-24hH2O_2-A,6_01_7406"	"neg_E545_DD55-4a_24hDex-24hH2O_2-A,6_01_7406.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"E545_DD55-4a_6hDex-24hH2O_2-A,2_01_7402"	"Extraction"	""	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"80–1000"	"Bruker micrOTOF-Q I"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"neg_E545_DD55-4a_6hDex-24hH2O_2-A,2_01_7402"	"neg_E545_DD55-4a_6hDex-24hH2O_2-A,2_01_7402.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_MTBLS441_root_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
