"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Elevation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Month of collection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Year of collection]"	"Term Source REF"	"Term Accession Number"
"Espeletia11"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia aristeguietana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"11"	"P. of Venezuela"	""	""	"3220"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia12"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia aristeguietana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"12"	"P. of Venezuela"	""	""	"3217"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia18"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia batata Cuatrec.× Espeletia schultzii Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"18"	"P. of Venezuela"	""	""	"3193"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia19"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia batata Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"19"	"P. of Venezuela"	""	""	"3267"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia35"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia cuniculorum Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"35"	"P. of Venezuela"	""	""	"3671"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia58"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia jajoensis Aristeg."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"58"	"P. of Venezuela"	""	""	"3268"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia59"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia jajoensis Aristeg."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"59"	"P. of Venezuela"	""	""	"3638"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia77"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia nana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"77"	"P. of Venezuela"	""	""	"3670"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia78"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia nana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"78"	"P. of Venezuela"	""	""	"3575"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia99"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia schultzii x Co. moritziana x Espeletia weddellii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"99"	"P. of Venezuela"	""	""	"3631"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia100"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia schultzii Wedd. x Espeletia jajoensis Aristeg."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"100"	"P. of Venezuela"	""	""	"2302"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia101"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia schultzii Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"101"	"P. of Venezuela"	""	""	"2291"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"7"	""	""	"2010"	""	""
"Espeletia102"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia schultzii Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"102"	"P. of Venezuela"	""	""	"4050"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia103"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia semiglobulata Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"103"	"P. of Venezuela"	""	""	"4063"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia111"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia tenorae Aristeg. x Espeletia schultzii Wedd."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"111"	"P. of Venezuela"	""	""	"3511"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
