"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"wildtype_callus_1"	"Extraction"	""	"sylilation"	"callus"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_callus_1"	"WT_Callus_1_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_callus_2"	"Extraction"	""	"sylilation"	"callus"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_callus_2"	"WT_Callus_2_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_callus_3"	"Extraction"	""	"sylilation"	"callus"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_callus_3"	"WT_Callus_3_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_callus_4"	"Extraction"	""	"sylilation"	"callus"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_callus_4"	"WT_Callus_4_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_callus_5"	"Extraction"	""	"sylilation"	"callus"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_callus_5"	"WT_Callus_5_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_reg_shoot_1"	"Extraction"	""	"sylilation"	"regenerated shoot"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_reg_shoot_1"	"WT_ Regenerated Shoot 1-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_reg_shoot_2"	"Extraction"	""	"sylilation"	"regenerated shoot"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_reg_shoot_2"	"WT_ Regenerated Shoot 2-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_reg_shoot_3"	"Extraction"	""	"sylilation"	"regenerated shoot"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_reg_shoot_3"	"WT_ Regenerated Shoot 3-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_reg_shoot_4"	"Extraction"	""	"sylilation"	"regenerated shoot"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_reg_shoot_4"	"WT_ Regenerated Shoot 4-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_reg_shoot_5"	"Extraction"	""	"sylilation"	"regenerated shoot"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_reg_shoot_5"	"WT_ Regenerated Shoot 5-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_cotyledon_1"	"Extraction"	""	"sylilation"	"cotyledon"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_cotyledon_1"	"WT_ Cotledon 1-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"wildtype_cotyledon_2"	"Extraction"	""	"sylilation"	"cotyledon"	"Chromatography"	""	""	""	"Rxi-5ms (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"80-600"	"LECO Pegasus  "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"wildtype_cotyledon_2"	"WT_ Cotledon 2-1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_metabolomic_homeostasis_during_callusing_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
