"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Mutant]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Plant Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"wildtype_callus_1"	"wildtype"	""	""	"callus"	""	""	"1"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"wildtype_callus_2"	"wildtype"	""	""	"callus"	""	""	"2"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"wildtype_callus_3"	"wildtype"	""	""	"callus"	""	""	"3"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"wildtype_callus_4"	"wildtype"	""	""	"callus"	""	""	"4"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"wildtype_callus_5"	"wildtype"	""	""	"callus"	""	""	"5"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wildtype_reg_shoot_1"	"wildtype"	""	""	"reg-shoot"	""	""	"1"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wildtype_reg_shoot_2"	"wildtype"	""	""	"reg-shoot"	""	""	"2"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wildtype_reg_shoot_3"	"wildtype"	""	""	"reg-shoot"	""	""	"3"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wildtype_reg_shoot_4"	"wildtype"	""	""	"reg-shoot"	""	""	"4"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"wildtype_reg_shoot_5"	"wildtype"	""	""	"reg-shoot"	""	""	"5"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"wildtype_cotyledon_1"	"wildtype"	""	""	"cotyledon"	""	""	"1"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"wildtype_cotyledon_2"	"wildtype"	""	""	"cotyledon"	""	""	"2"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"wildtype_cotyledon_3"	"wildtype"	""	""	"cotyledon"	""	""	"3"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"wildtype_cotyledon_4"	"wildtype"	""	""	"cotyledon"	""	""	"4"	""	""
"WT"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"cotyledon"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000300"	"Sample collection"	"wildtype_cotyledon_5"	"wildtype"	""	""	"cotyledon"	""	""	"5"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_1"	"pct1-2"	""	""	"callus"	""	""	"1"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_2"	"pct1-2"	""	""	"callus"	""	""	"2"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_3"	"pct1-2"	""	""	"callus"	""	""	"3"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_4"	"pct1-2"	""	""	"callus"	""	""	"4"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"pct1-2_callus_5"	"pct1-2"	""	""	"callus"	""	""	"5"	""	""
"pct1-2"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"shoot"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001243"	"Sample collection"	"pct1-2_reg_shoot_1"	"pct1-2"	""	""	"reg-shoot"	""	""	"1"	""	""
