"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1005"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1005"	"13047CHQ_0001_A1.d.zip"	"Data transformation"	""	"13047CHQ_0001_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1007"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1007"	"13047CHQ_0002_A1.d.zip"	"Data transformation"	""	"13047CHQ_0002_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1010"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1010"	"13047CHQ_0003_A1.d.zip"	"Data transformation"	""	"13047CHQ_0003_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1011"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1011"	"13047CHQ_0005_A1.d.zip"	"Data transformation"	""	"13047CHQ_0005_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1012"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1012"	"13047CHQ_0006_A1.d.zip"	"Data transformation"	""	"13047CHQ_0006_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1013"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1013"	"13047CHQ_0008_A1.d.zip"	"Data transformation"	""	"13047CHQ_0008_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1015"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1015"	"13047CHQ_0011_A1.d.zip"	"Data transformation"	""	"13047CHQ_0011_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1017"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1017"	"13047CHQ_0013_A1.d.zip"	"Data transformation"	""	"13047CHQ_0013_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1018"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1018"	"13047CHQ_0014_A1.d.zip"	"Data transformation"	""	"13047CHQ_0014_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1019"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1019"	"13047CHQ_0016_A1.d.zip"	"Data transformation"	""	"13047CHQ_0016_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"1022"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1022"	"13047CHQ_0018_A1.d.zip"	"Data transformation"	""	"13047CHQ_0018_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"2004"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"2004"	"13047CHQ_0019_A1.d.zip"	"Data transformation"	""	"13047CHQ_0019_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
"2006"	"Extraction"	"acetonitrile/methanol (50:50 v/v)"	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"MRM"	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"2006"	"13047CHQ_0020_A1.d.zip"	"Data transformation"	""	"13047CHQ_0020_A1.mzML"	"Metabolite identification"	""	"m_mtbls449_Oxylipin_mass_spectrometry_v2_maf.tsv"
