"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Vaccination]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_110923_Darren_004"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_110923_Darren_005"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_110923_Darren_006"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"QC_Pool_110923_Darren_007"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	"QC"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7564_T6_R1_Vaccinated_110923_Darren_009"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7565_T6_R1_Vaccinated_110923_Darren_010"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7566_T6_R1_Vaccinated_110923_Darren_011"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7593_T6_R1_Non-Vaccinated_110923_Darren_012"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7596_T6_R1_Non-Vaccinated_110923_Darren_013"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
"Blood"	"Bos taurus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9913"	"Holstein"	"LBO"	"http://purl.obolibrary.org/obo/LBO_0000132"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"7546_T6_R1_Non-Vaccinated_110923_Darren_014"	"6"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"R1"	""	""	"Non-Vaccinated"	""	""
